STATEFIPS,STATE,ZIPCODE,AGI_STUB,N1,MARS1,MARS2,A00100
1,AL,0,0,2020720,808290,756670,108961633
1,AL,35004,0,4980,1980,2180,269216
1,AL,35005,0,3250,1350,1000,126701
1,AL,35006,0,1250,450,620,59947
1,AL,35007,0,12020,4680,5300,678502
1,AL,35010,0,8120,2950,2780,362819
1,AL,35014,0,1650,560,500,72523
1,AL,35016,0,6990,2610,3350,337434
1,AL,35019,0,910,310,470,37657
1,AL,35020,0,9720,4010,1240,257454
1,AL,35022,0,9540,3830,3530,533916
1,AL,35023,0,10130,4000,3990,480086
1,AL,35031,0,2860,950,1470,114171
1,AL,35033,0,1340,440,730,72519
1,AL,35034,0,1430,480,390,54657
1,AL,35035,0,560,190,270,35806
1,AL,35040,0,7200,2740,2910,372128
1,AL,35042,0,2220,760,910,97569
1,AL,35043,0,4620,1550,2550,362804
1,AL,35044,0,3190,1260,1040,127251
21,KY,40218,0,15790,8490,3600,546418
21,KY,40219,0,18780,9440,4790,663780
21,KY,40220,0,17230,9030,5790,903908
21,KY,40222,0,11320,5950,4270,1104801
21,KY,40223,0,11880,5750,4920,1109150
21,KY,40228,0,8540,3990,3200,434066
21,KY,40229,0,17340,7880,6210,743288
21,KY,40241,0,14870,6810,6550,1345881
21,KY,40242,0,5520,2760,2070,342217
21,KY,40243,0,5540,2680,2210,344952
21,KY,40245,0,15010,5750,7790,1736148
21,KY,40258,0,12610,5880,4060,519352
21,KY,40272,0,16930,7630,5990,723795
21,KY,40291,0,18880,8650,7540,1080456
21,KY,40299,0,19760,8790,8570,1301249
21,KY,40311,0,2670,1060,1160,105317
21,KY,40312,0,2210,830,880,73317
21,KY,40313,0,970,460,330,28651
21,KY,40316,0,120,40,60,4326
21,KY,40322,0,1150,400,530,39309
21,KY,40324,0,20140,8270,8480,1181628
21,KY,40328,0,460,190,220,17275
21,KY,40330,0,8190,3380,3670,379897
21,KY,40336,0,4770,1800,2050,180449
21,KY,40337,0,1990,750,880,70307
21,KY,40342,0,9940,3890,4520,499857
21,KY,40346,0,300,110,150,10109
21,KY,40347,0,1400,590,620,101482
21,KY,40351,0,7580,3320,3200,334090
21,KY,40353,0,9100,3660,3790,436963
21,KY,40356,0,17940,7350,7560,1117589
21,KY,40358,0,290,110,130,12108
21,KY,40359,0,2890,1220,1240,127636
21,KY,40360,0,2670,1000,1160,102413
21,KY,40361,0,7750,3340,2940,379092
21,KY,40370,0,1210,440,600,64598
21,KY,40371,0,1010,380,480,36996
21,KY,40372,0,1000,380,510,51068
21,KY,40374,0,660,240,300,24500
21,KY,40379,0,1540,570,770,80533
