Name,Address,City,State,Zip,Last update,Image count,Num bedrooms,Rent,Pets Allowed,Income,Num_of_Households
The Millennium at Metropolitan Park,1330 S Fair St, Arlington,VA,22202,New,60,2.0,6305.0,Yes,1379382,13230
RiverHouse,1400 S Joyce St, Arlington,VA,22202,3 hrs,59,3.0,2684.0,Yes,1379382,13230
The Point at Pentagon City,1201 S Eads St, Arlington,VA,22202,3 hrs,57,2.0,2665.0,Yes,1379382,13230
The Bartlett,520 12th St S, Arlington,VA,22202,New,65,3.0,5486.0,Yes,1379382,13230
1401 Joyce on Pentagon Row,1401 S Joyce St, Arlington,VA,22202,8 hrs,40,2.0,2960.0,Yes,1379382,13230
m.flats Crystal City,1820 S Eads St, Arlington,VA,22202,New,6,2.0,3293.0,Yes,1379382,13230
The Buchanan,320 23rd St S, Arlington,VA,22202,10 hrs,16,3.0,4065.0,Yes,1379382,13230
The Gramercy,550 14th Rd S, Arlington,VA,22202,10 hrs,9,3.0,8363.0,Yes,1379382,13230
The Acadia at Metropolitan Park,575 12th Rd S, Arlington,VA,22202,New,26,2.0,9040.0,Yes,1379382,13230
Crystal Square,1515 Jefferson Davis Hwy, Arlington,VA,22202,3 hrs,60,3.0,3933.0,Contact Management,1379382,13230
The Paramount,1425 S Eads St, Arlington,VA,22202,3 hrs,18,2.0,3423.0,Contact Management,1379382,13230
Water Park Towers,1501-1505 Crystal Dr, Arlington,VA,22202,New,21,3.0,2415.0,Contact Management,1379382,13230
Post Pentagon Row,1201-1301 S Joyce Street Suite C, Arlington,VA,22202,New,49,3.0,5640.0,Contact Management,1379382,13230
Crystal Towers,1600 S Eads St, Arlington,VA,22202,10 hrs,22,4.0,7740.0,Contact Management,1379382,13230
Meridian at Pentagon City,1221 S Eads St, Arlington,VA,22202,New,81,2.0,3375.0,Contact Management,1379382,13230
Crystal House,1900 S Eads St, Arlington,VA,22202,1 day,12,3.0,3646.0,Contact Management,1379382,13230
220 Twentieth Street,220 20th St, Arlington,VA,22202,New,Not specified,2.0,4646.0,Contact Management,1379382,13230
The Point At Arlington Park,815 18Th St S, Arlington,VA,22202,3 hrs,Not specified,2.0,2403.0,Contact Management,1379382,13230
Camden Potomac Yard,3535 S Ball St, Arlington,VA,22202,New,Not specified,2.0,4669.0,Contact Management,1379382,13230
Instrata Pentagon City,901 S 15th St, Arlington,VA,22202,3 hrs,Not specified,3.0,8424.0,Contact Management,1379382,13230
Concord Crystal City,2600 Crystal Dr, Arlington,VA,22202,3 hrs,Not specified,2.0,4284.0,Contact Management,1379382,13230
