Name,Address,City,State,Zip,Style,Last update,Image count,Num bedrooms,Rent,Pets Allowed,Latitude,Longitude,Income,Num_of_Households,Metro Distance
Fifty Three-Thirty Three,5333 Connecticut Ave NW, Washington,DC,20015,,New,28,2.0,3700.0,Yes,38.960584999999995,-77.072666,1729694,7640,1150.349297292806
Brittany Apartments,5432 Connecticut Ave NW, Washington,DC,20015,,5 hrs,22,2.0,2250.0,Contact Management,38.962871,-77.074726,1729694,7640,1000.4429699566624
The Kenmore,5415 Connecticut Ave NW, Washington,DC,20015,,1 hr,Not specified,2.0,2475.0,Contact Management,38.961711,-77.073237,1729694,7640,1106.0733537970737
Livingston,5437 Connecticut Ave NW, Washington,DC,20015,,6 hrs,Not specified,1.0,1460.0,Contact Management,38.962872999999995,-77.07395,1729694,7640,1065.8025134114966
La Reine Apartments,5425 Connecticut Ave NW, Washington,DC,20015,,1 wk,Not specified,2.0,2585.0,Contact Management,38.962272999999996,-77.073698,1729694,7640,1074.507250725837
5233 Connecticut Ave NW Unit 302,5233 Connecticut Ave NW Unit 302,Washington,DC,20015,,2 wks,Not specified,,2300.0,Contact Management,38.958801,-77.07168399999998,1729694,7640,1253.8890305950165
6006 28th St NW,6006 28th St NW,Washington,DC,20015,,1 day,Not specified,,4200.0,Contact Management,38.969034,-77.05862900000002,1729694,7640,2537.131853221619
5323 42nd Pl NW,5323 42nd Pl NW,Washington,DC,20015,,1 day,Not specified,,4250.0,Contact Management,38.959846999999996,-77.081754,1729694,7640,377.84463379678954
5340 41st St NW,5340 41st St NW,Washington,DC,20015,,1 day,Not specified,,4200.0,Contact Management,38.960341,-77.080559,1729694,7640,469.9056237055349
3017 Military Rd NW,3017 Military Rd NW,Washington,DC,20015,,1 day,Not specified,,3400.0,Contact Management,38.961312,-77.06059300000003,1729694,7640,1983.376802246958
3831 Military Rd NW,3831 Military Rd NW,Washington,DC,20015,,1 day,Not specified,,4000.0,Contact Management,38.961258,-77.076299,1729694,7640,838.0416516283258
5402 Connecticut Ave NW,5402 Connecticut Ave NW,Washington,DC,20015,,1 day,Not specified,,2200.0,Contact Management,38.961248,-77.073995,1729694,7640,1036.8153540626513
3755 Northampton St NW,3755 Northampton St NW,Washington,DC,20015,,1 day,Not specified,,5400.0,Contact Management,38.966007,-77.074809,1729694,7640,1128.4892218207244
5235 Western Ave NW,5235 Western Ave NW,Washington,DC,20015,,1 day,Not specified,,6510.0,Contact Management,38.957888,-77.089036,1729694,7640,413.73437732458973
The Huntington,5225 Connecticut Ave NW, Washington,DC,20015,,2 wks,Not specified,0.0,1214.0,Contact Management,38.958375,-77.0714,1729694,7640,1286.942753087411
Cathedral Commons,3401 Idaho Ave NW, Washington,DC,20016,,New,33,3.0,10102.0,Yes,38.934939,-77.073973,3388724,14220,1323.0712512716982
Vaughan Place,3401 38th St NW, Washington,DC,20016,,New,47,2.0,4035.0,Yes,38.9363,-77.07386600000002,3388724,14220,1210.1976165195078
