Name,Address,City,State,Zip,Style,Last update,Image count,Num bedrooms,Rent,Pets Allowed,Latitude,Longitude,Metro Distance,Income,Num_of_Households
Fifty Three-Thirty Three,5333 Connecticut Ave NW, Washington,DC,20015,,New,28,2.0,3700.0,Yes,38.960584999999995,-77.072666,1150.3492972927938,1729694,7640
Brittany Apartments,5432 Connecticut Ave NW, Washington,DC,20015,,5 hrs,22,2.0,2250.0,Contact Management,38.962871,-77.074726,1000.4429699566624,1729694,7640
Cathedral Commons,3401 Idaho Ave NW, Washington,DC,20016,,New,33,3.0,10102.0,Yes,38.934939,-77.073973,1323.0712512716982,3388724,14220
Vaughan Place,3401 38th St NW, Washington,DC,20016,,New,47,2.0,4035.0,Yes,38.9363,-77.07386600000002,1210.1976165176884,3388724,14220
The Berkshire,4201 Massachusetts Ave NW, Washington,DC,20016,,7 hrs,30,2.0,3800.0,Yes,38.935859,-77.08195699999997,1344.0183843107304,3388724,14220
Avalon at Foxhall,4100 Massachusetts Ave NW, Washington,DC,20016,,1 day,25,3.0,3445.0,Yes,38.933555,-77.08183199999998,1596.417944776461,3388724,14220
4000 Massachusetts,4000 Massachusetts Ave NW, Washington,DC,20016,,2 wks,28,3.0,3795.0,No,38.931301,-77.078745,1814.6868732063615,3388724,14220
Alban Towers,3700 Massachusetts Ave NW, Washington,DC,20016,,1 hr,33,3.0,4215.0,Contact Management,38.928271,-77.073698,1517.4224436821307,3388724,14220
Idaho Terrace,3040 Idaho Ave NW, Washington,DC,20016,,6 hrs,34,2.0,2775.0,Contact Management,38.930155,-77.07865,1837.5761066264408,3388724,14220
The Elaine Apartments,3210 Wisconsin Ave NW, Washington,DC,20016,,5 days,30,2.0,2590.0,Contact Management,38.93237,-77.073043,1307.5998951546105,3388724,14220
Macomb Gardens Apartments,3725 Macomb St NW, Washington,DC,20016,,1 wk,30,2.0,2750.0,Contact Management,38.93375800000001,-77.073497,1325.0376085752905,3388724,14220
Takoma Central,235 Carroll St NW, Washington,DC,20012,,New,51,2.0,3276.0,Yes,38.975124,-77.015375,217.35519367352225,657911,7570
Residences on The Avenue,2221 I St NW, Washington,DC,20037,,1 hr,24,3.0,6833.0,Yes,38.900975,-77.04961999999998,70.29332845731653,756865,4970
The Westpark Apartments,2130 P St NW, Washington,DC,20037,,New,22,2.0,3725.0,Yes,38.909482000000004,-77.048363,410.39300982927284,756865,4970
2400 M,2400 M St NW, Washington,DC,20037,,New,22,3.0,4335.0,Contact Management,38.905065,-77.05170799999998,511.88632085324684,756865,4970
Columbia Plaza Apartments,2400 Virginia Ave NW, Washington,DC,20037,,5 hrs,55,3.0,3450.0,Contact Management,38.897149,-77.051171,391.4144192535799,756865,4970
Westbrooke Place,2201 N St, Washington,DC,20037,,7 hrs,26,2.0,6160.0,Contact Management,38.898918,-77.05544599999998,485.11269001254715,756865,4970
The Savoy,1101 New Hampshire Ave NW, Washington,DC,20037,,2 wks,73,3.0,3900.0,Contact Management,38.904025,-77.048315,416.9334028776786,756865,4970
Winston House,2140 L St NW, Washington,DC,20037,,2 wks,55,2.0,3800.0,Contact Management,38.903447,-77.048128,367.0714980306008,756865,4970
Elevation at Washington Gateway,100 Florida Ave NE, Washington,DC,20002,,New,55,2.0,3676.0,Yes,38.90883400000001,-77.003353,162.25988822196925,2258354,32160
Anthology,625 H St NE, Washington,DC,20002,,42 min,41,2.0,3861.0,Yes,38.900053,-76.997914,806.9404943365225,2258354,32160
Station House,701 2nd St NE, Washington,DC,20002,,New,67,3.0,5955.0,Yes,38.89929,-77.003057,363.6203002913514,2258354,32160
Avalon First and M,1160 1st St NE, Washington,DC,20002,,1 day,32,3.0,4222.0,Yes,38.905164,-77.006291,381.09195529556405,2258354,32160
The Metropolitan Apartments,200 Rhode Island Ave NE, Washington,DC,20002,,2 wks,29,2.0,2399.0,Yes,38.91917700000001,-77.003273,654.1301635628638,2258354,32160
The Apollo,600-616 H St NE, Washington,DC,20002,,New,7,3.0,5631.0,Contact Management,38.900353,-76.998153,798.9771546248234,2258354,32160
Senate Square,201 Eye St NE, Washington,DC,20002,,New,20,2.0,3382.0,Contact Management,38.908218,-76.982147,1803.2327981234928,2258354,32160
Loree Grand at Union Place,250 K St NE, Washington,DC,20002,,1 hr,26,2.0,3789.0,Contact Management,38.902802,-77.002438,514.0485946546496,2258354,32160
Camden NoMa,60 L St NE, Washington,DC,20002,,35 min,61,2.0,3669.0,Contact Management,38.903988,-77.007537,548.924211731956,2258354,32160
The Gale Eckington,151 Q St NE, Washington,DC,20002,,New,53,2.0,3775.0,Contact Management,38.910927,-77.00409499999998,403.5173970243367,2258354,32160
Flats at Atlas,1600 Maryland Ave NE, Washington,DC,20002,,7 hrs,58,2.0,2635.0,Contact Management,38.901693,-76.980818,1775.2450852341026,2258354,32160
360H Street,360 H St NE, Washington,DC,20002,,7 hrs,54,2.0,3810.0,Contact Management,38.900355,-77.001171,564.2038323818816,2258354,32160
Aria on L,300 L St NE, Washington,DC,20002,,2 wks,37,2.0,3000.0,Contact Management,38.903987,-77.001795,393.4430975979228,2258354,32160
